"data.text","data.user_id","data.status_id","data.created_at","data.retweet_count"
"Hello, folks! Does anyone have any well-designed examples of one-page html, doc, or pdf reports using R Markdown? Looking for some inspirations of great designs 😉#RStats #Rstudio","788327009910939648","1261445768784646144",2020-05-15 23:58:02,1
"ggplot heatmap where axis scaling is proportional to other variables #tidyverse #rstats https://t.co/a9bYzx4k5C","935569091678691328","1261443846925213697",2020-05-15 23:50:24,1
"Unable to use tmap_animation() #tidyverse #rstats https://t.co/dzX68tdSye","935569091678691328","1261178349071806466",2020-05-15 06:15:24,1
"Unable to read libraries and import data #tidyverse #rstats https://t.co/MH9oOYiPGK","935569091678691328","1261441313049849856",2020-05-15 23:40:20,1
"Determing valid direct graph selections #tidyverse #rstats https://t.co/VaXh7BqcZs","935569091678691328","1261209791944372224",2020-05-15 08:20:21,1
"Filtering database by datetime column with dbplyr #tidyverse #rstats https://t.co/M4O8TliV1G","935569091678691328","1261353276013854720",2020-05-15 17:50:30,1
"Using a URL to Pipe Information into a shiny application #tidyverse #rstats https://t.co/vSAnihvUO1","935569091678691328","1261358269848641541",2020-05-15 18:10:21,1
"Ridgline plot of several groups in R #tidyverse #rstats https://t.co/uiI9Ec1zTQ","935569091678691328","1261307949986861058",2020-05-15 14:50:23,1
"List of regression models to table #tidyverse #rstats https://t.co/ltKQf9dhU5","935569091678691328","1261206065556983810",2020-05-15 08:05:32,1
"C# to R - HTTP GET #tidyverse #rstats https://t.co/SVZLz3L2aa","935569091678691328","1261321788287528963",2020-05-15 15:45:23,1
"Make rings in R ggplot2 #tidyverse #rstats https://t.co/OT4OyquaGx","935569091678691328","1261100391871270914",2020-05-15 01:05:38,2
"Use purrr's map to estimate linear regressions by group when some groups are empty for some models #tidyverse #rstats https://t.co/qFdDS2MCtL","935569091678691328","1261406094724755456",2020-05-15 21:20:23,1
"How to calculate grand mean and standard deviation for the grouped table? #tidyverse #rstats https://t.co/WU4HD7AA1D","935569091678691328","1261436289695526914",2020-05-15 23:20:22,1
"How can I change the colour to a variable other than cluster number in fviz_silhouette #tidyverse #rstats https://t.co/MEPmZYnMho","935569091678691328","1261282750549671936",2020-05-15 13:10:15,1
"How to add letters in my ggplot2 using annotate() when the x-axis is in the format `%Y-%m-%d %H:%M:%S`? #tidyverse #rstats https://t.co/rJxQPiYbhw","935569091678691328","1261354529473409024",2020-05-15 17:55:29,3
"How do I create a plot grid from plots created with different data with different aesthetic length? #tidyverse #rstats https://t.co/nMKpj8BwWq","935569091678691328","1261319240671547393",2020-05-15 15:35:15,1
"Displaying degrees on map axes using coord_sf in R #tidyverse #rstats https://t.co/WXwwPiarD5","935569091678691328","1261433745426399233",2020-05-15 23:10:15,1
"How to change NA square color with ggplot's `geom_tile()` #tidyverse #rstats https://t.co/6wtSzc0UHg","935569091678691328","1261317979406585857",2020-05-15 15:30:15,3
"Density plots via Map with ggplot2 #tidyverse #rstats https://t.co/VAjEvDLD9k","935569091678691328","1261426204541943808",2020-05-15 22:40:17,1
"Use both empty and string filters in dplyr's filter #tidyverse #rstats https://t.co/BjFdgicgCy","935569091678691328","1261304150303932416",2020-05-15 14:35:17,1
"Subchapters in different source files in Bookdown #tidyverse #rstats https://t.co/yPTiMdaMYL","935569091678691328","1261280242364227586",2020-05-15 13:00:17,1
"Can't print all ggplot charts I need #tidyverse #rstats https://t.co/rPeWkf8aUo","935569091678691328","1261280241860980736",2020-05-15 13:00:17,1
