"Hour","Tweets","Retweets"
"10-06 02:00","15",241
"10-06 03:00","13",251
"10-06 04:00","22",786
"10-06 05:00","15",316
"10-06 06:00","10",265
"10-06 07:00","18",294
"10-06 08:00","23",167
"10-06 09:00","20",276
"10-06 10:00","18",184
"10-06 11:00","14",195
"10-06 12:00","23",196
"10-06 13:00","137",338
"10-06 14:00","39",355
"10-06 15:00","34",259
"10-06 16:00","28",241
"10-06 17:00","30",202
"10-06 18:00","24",230
"10-06 19:00","27",253
"10-06 20:00","23",180
"10-06 21:00","19",193
"10-06 22:00","15",192
"10-06 23:00","21",178
"11-06 00:00","27",289
"11-06 01:00","0",35
